model,duration,exact,f1,total,HasAns_exact,HasAns_f1,HasAns_total,NoAns_exact,NoAns_f1,NoAns_total,best_exact,best_exact_thresh,best_f1,best_f1_thresh
google/flan-t5-xl,97.27945566177368,21.25,24.166666666666664,80,3.3333333333333335,7.222222222222222,60,75.0,75.0,20,25.0,0.0,26.145833333333336,0.0
google/flan-t5-xxl,454.6590886116028,25.0,29.30773369072788,80,18.333333333333332,24.076978254303835,60,45.0,45.0,20,26.25,0.0,30.557733690727883,0.0
meta-llama/Meta-Llama-3-8B-Instruct,283.0156238079071,32.5,43.340052308802306,80,43.333333333333336,57.78673641173641,60,0.0,0.0,20,33.75,0.0,44.5900523088023,0.0
mistralai/Mistral-7B-Instruct-v0.3,371.9903950691223,20.0,27.761114853407783,80,26.666666666666668,37.014819804543706,60,0.0,0.0,20,25.0,0.0,29.011114853407786,0.0
